DOCKET NUMBER,NOV NUMBER,ADDRESS,STREET NUMBER,STREET DIRECTION,STREET NAME,STREET TYPE,WARD,ISSUING DEPARTMENT,HEARING DATE,CASE DISPOSITION,IMPOSED FINE,ADMIN COSTS,VIOLATION CODE
16BT05951A,16S0496903,11245 S DR MARTIN LUTHER KING JR DR,11245,S,DR MARTIN LUTHER KING JR,DR,9,Buildings,3/3/17,Default,"$8,000 ",$40 ,15062
16BT05951A,16S0496903,11245 S DR MARTIN LUTHER KING JR DR,11245,S,DR MARTIN LUTHER KING JR,DR,9,Buildings,3/3/17,Default,"$8,000 ",$40 ,65014
16BT05951A,16S0496903,11245 S DR MARTIN LUTHER KING JR DR,11245,S,DR MARTIN LUTHER KING JR,DR,9,Buildings,3/3/17,Default,"$8,000 ",$40 ,138056
16BT05951A,16S0496903,11245 S DR MARTIN LUTHER KING JR DR,11245,S,DR MARTIN LUTHER KING JR,DR,9,Buildings,3/3/17,Default,"$8,000 ",$40 ,104025
16BT06294A,16S0499222,7040 S VERNON AVE,7040,S,VERNON,AVE,6,Buildings,4/4/17,Continuance,"$8,000 ",$40 ,103015
16BT06294A,16S0499222,7040 S VERNON AVE,7040,S,VERNON,AVE,6,Buildings,4/4/17,Continuance,"$8,000 ",$40 ,196029
16BT06294A,16S0499222,7040 S VERNON AVE,7040,S,VERNON,AVE,6,Buildings,4/4/17,Continuance,"$8,000 ",$40 ,74014
16BT06294A,16S0499222,7040 S VERNON AVE,7040,S,VERNON,AVE,6,Buildings,4/4/17,Continuance,"$8,000 ",$40 ,138056
16BT06294A,16S0499222,7040 S VERNON AVE,7040,S,VERNON,AVE,6,Buildings,4/4/17,Continuance,"$8,000 ",$40 ,101015
16BT06294A,16S0499222,7040 S VERNON AVE,7040,S,VERNON,AVE,6,Buildings,4/4/17,Continuance,"$8,000 ",$40 ,63024
16BT06294A,16S0499222,7040 S VERNON AVE,7040,S,VERNON,AVE,6,Buildings,4/4/17,Continuance,"$8,000 ",$40 ,192019
16BT06294A,16S0499222,7040 S VERNON AVE,7040,S,VERNON,AVE,6,Buildings,4/4/17,Continuance,"$8,000 ",$40 ,15062
16BT06294A,16S0499222,7040 S VERNON AVE,7040,S,VERNON,AVE,6,Buildings,4/4/17,Continuance,"$8,000 ",$40 ,63014
16BT06294A,16S0499222,7040 S VERNON AVE,7040,S,VERNON,AVE,6,Buildings,4/4/17,Continuance,"$8,000 ",$40 ,157047
16BT06294A,16S0499222,7040 S VERNON AVE,7040,S,VERNON,AVE,6,Buildings,4/4/17,Continuance,"$8,000 ",$40 ,135016
16BT06294A,16S0499222,7040 S VERNON AVE,7040,S,VERNON,AVE,6,Buildings,4/4/17,Continuance,"$8,000 ",$40 ,138106
16BT06294A,16S0499222,7040 S VERNON AVE,7040,S,VERNON,AVE,6,Buildings,4/4/17,Continuance,"$8,000 ",$40 ,62024
16BT06294A,16S0499222,7040 S VERNON AVE,7040,S,VERNON,AVE,6,Buildings,4/4/17,Continuance,"$8,000 ",$40 ,70024
16BT06294A,16S0499222,7040 S VERNON AVE,7040,S,VERNON,AVE,6,Buildings,4/4/17,Continuance,"$8,000 ",$40 ,104015
16BT06294A,16S0499222,7040 S VERNON AVE,7040,S,VERNON,AVE,6,Buildings,4/4/17,Continuance,"$8,000 ",$40 ,61014
16BT01847A,16C0472615,417 E 45TH PL,417,E,45TH,PL,3,Buildings,2/1/17,Default,"$8,000 ",$75 ,104015
16BT01847A,16C0472615,417 E 45TH PL,417,E,45TH,PL,3,Buildings,2/1/17,Default,"$8,000 ",$75 ,70014
16BT01847A,16C0472615,417 E 45TH PL,417,E,45TH,PL,3,Buildings,2/1/17,Default,"$8,000 ",$75 ,63014
16BT01847A,16C0472615,417 E 45TH PL,417,E,45TH,PL,3,Buildings,2/1/17,Default,"$8,000 ",$75 ,104035
16BT01847A,16C0472615,417 E 45TH PL,417,E,45TH,PL,3,Buildings,2/1/17,Default,"$8,000 ",$75 ,63024
16BT01847A,16C0472615,417 E 45TH PL,417,E,45TH,PL,3,Buildings,2/1/17,Default,"$8,000 ",$75 ,220029
16BT01847A,16C0472615,417 E 45TH PL,417,E,45TH,PL,3,Buildings,2/1/17,Default,"$8,000 ",$75 ,62014
16BT01847A,16C0472615,417 E 45TH PL,417,E,45TH,PL,3,Buildings,2/1/17,Default,"$8,000 ",$75 ,104025
16BT01847A,16C0472615,417 E 45TH PL,417,E,45TH,PL,3,Buildings,2/1/17,Default,"$8,000 ",$75 ,74024
16BT01847A,16C0472615,417 E 45TH PL,417,E,45TH,PL,3,Buildings,2/1/17,Default,"$8,000 ",$75 ,69014
16BT01847A,16C0472615,417 E 45TH PL,417,E,45TH,PL,3,Buildings,2/1/17,Default,"$8,000 ",$75 ,71024
16BT01847A,16C0472615,417 E 45TH PL,417,E,45TH,PL,3,Buildings,2/1/17,Default,"$8,000 ",$75 ,190019
16BT01847A,16C0472615,417 E 45TH PL,417,E,45TH,PL,3,Buildings,2/1/17,Default,"$8,000 ",$75 ,41063
16BT01847A,16C0472615,417 E 45TH PL,417,E,45TH,PL,3,Buildings,2/1/17,Default,"$8,000 ",$75 ,160017
16BT01847A,16C0472615,417 E 45TH PL,417,E,45TH,PL,3,Buildings,2/1/17,Default,"$8,000 ",$75 ,70024
16BT02022A,16S0473707,9305 S BURNSIDE AVE,9305,S,BURNSIDE,AVE,9,Buildings,4/4/17,Default,"$7,500 ",$0 ,190019
16BT02022A,16S0473707,9305 S BURNSIDE AVE,9305,S,BURNSIDE,AVE,9,Buildings,4/4/17,Default,"$7,500 ",$0 ,136026
16BT02022A,16S0473707,9305 S BURNSIDE AVE,9305,S,BURNSIDE,AVE,9,Buildings,4/4/17,Default,"$7,500 ",$0 ,135016
